FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_1399_10854","dbo","AC_GRUPOVISITANTES","TIPOVISITA","dbo","AC_TIPOSVISITAS","HANDLE"
"FK_1400_10826","dbo","AC_HISTCRACHAGRUPVISIT","GRUPVISITANTE","dbo","AC_GRUPOVISITANTES","HANDLE"
"FK_1400_12502","dbo","AC_HISTCRACHAGRUPVISIT","TIPODOC","dbo","AC_TIPODOCUMENTO","HANDLE"
"FK_1401_13019","dbo","AC_HISTCRACHAVISITANTES","NUMDOCVIS","dbo","AC_VISITANTES","HANDLE"
"FK_1888_15189","dbo","AC_ITINERARIOLOCAIS","ITINERARIO","dbo","AC_ITINERARIO","HANDLE"
"FK_1752_16414","dbo","AC_LIBERACAO","MOTIVO","dbo","AC_MOTIVOLIBERACAO","HANDLE"
"FK_1752_29784","dbo","AC_LIBERACAO","RESPONSAVEL","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1415_10930","dbo","AC_LOCALIZADOR","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1415_12505","dbo","AC_LOCALIZADOR","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1415_12506","dbo","AC_LOCALIZADOR","SUPERIOR","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1415_12507","dbo","AC_LOCALIZADOR","SUBSTITUTO","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1416_12508","dbo","AC_LOCALIZADORFONES","LOCALIZADOR","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1417_12509","dbo","AC_LOCALIZADORPERIODOS","LOCALIZADOR","dbo","AC_LOCALIZADORFONES","HANDLE"
"FK_1417_13033","dbo","AC_LOCALIZADORPERIODOS","SUPERIOR","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1417_13034","dbo","AC_LOCALIZADORPERIODOS","SUBSTITUTO","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1390_10716","dbo","AC_MENSAGEMFUNOUTRAUNIDADE","FUNCIONARIO","dbo","AC_CADASTROFUNOUTRAUNIDADES","HANDLE"
"FK_1390_12510","dbo","AC_MENSAGEMFUNOUTRAUNIDADE","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1387_12513","dbo","AC_MENSAGEMVISITANTE","NUMDOC","dbo","AC_VISITANTES","HANDLE"
"FK_1385_10683","dbo","AC_MENSFUNCIONARIO","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1385_12516","dbo","AC_MENSFUNCIONARIO","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
