FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_6686_82737","dbo","TR_APURACOESDIFAFCP","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_6689_82784","dbo","TR_APURACOESDIFAFCPDOCUMENTOS","APURACAO","dbo","TR_APURACOESDIFAFCP","HANDLE"
"FK_6689_82785","dbo","TR_APURACOESDIFAFCPDOCUMENTOS","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_6690_82786","dbo","TR_APURACOESDIFAFCPVENCIMENTOS","APURACAO","dbo","TR_APURACOESDIFAFCP","HANDLE"
"FK_6690_82788","dbo","TR_APURACOESDIFAFCPVENCIMENTOS","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_6690_82791","dbo","TR_APURACOESDIFAFCPVENCIMENTOS","CODIGORECEITA","dbo","TR_CODIGOSRECEITA","HANDLE"
"FK_4824_60227","dbo","TR_APURACOESST","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_4824_60228","dbo","TR_APURACOESST","FILIAL","dbo","FILIAIS","HANDLE"
"FK_4824_60230","dbo","TR_APURACOESST","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_4824_60231","dbo","TR_APURACOESST","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_4824_60249","dbo","TR_APURACOESST","CODIGORECEITA","dbo","TR_CODIGOSRECEITA","HANDLE"
"FK_4824_65890","dbo","TR_APURACOESST","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_1649_13671","dbo","TR_APURAFILIAL","FILIALMAE","dbo","FILIAIS","HANDLE"
"FK_1649_13672","dbo","TR_APURAFILIAL","FILIALFILHA","dbo","FILIAIS","HANDLE"
"FK_5308_65899","dbo","TR_AUDITORIATABELAREGISTROS","CAMPO","dbo","Z_CAMPOS","HANDLE"
"FK_5308_65903","dbo","TR_AUDITORIATABELAREGISTROS","AUDITORIA","dbo","TR_AUDITORIATABELAS","HANDLE"
"FK_5307_65896","dbo","TR_AUDITORIATABELAS","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_5307_65898","dbo","TR_AUDITORIATABELAS","TABELA","dbo","Z_TABELAS","HANDLE"
"FK_5878_72968","dbo","TR_CARGATRIBCOMPOSICAO","CAMPO","dbo","Z_CAMPOS","HANDLE"
"FK_5878_72970","dbo","TR_CARGATRIBCOMPOSICAO","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_5878_72971","dbo","TR_CARGATRIBCOMPOSICAO","VIGENCIACARGATRIBUTARIA","dbo","TR_CARGATRIBVIGENCIA","HANDLE"
"FK_5876_72962","dbo","TR_CARGATRIBJUSTIFICATIVA","FONTE","dbo","TR_CARGATRIBFONTE","HANDLE"
"FK_5875_72964","dbo","TR_CARGATRIBVIGENCIA","CARGATRIBUTARIA","dbo","TR_CARGATRIB","HANDLE"
"FK_5875_81859","dbo","TR_CARGATRIBVIGENCIA","FONTE","dbo","TR_CARGATRIBFONTE","HANDLE"
"FK_6659_82330","dbo","TR_CEST","NIVELSUPERIOR","dbo","TR_CEST","HANDLE"
"FK_6660_82333","dbo","TR_CESTNCM","CEST","dbo","TR_CEST","HANDLE"
"FK_6660_82334","dbo","TR_CESTNCM","NCM","dbo","TR_TIPIS","HANDLE"
"FK_2028_61831","dbo","TR_CLASSES","COLETOR","dbo","GN_PESSOAS","HANDLE"
"FK_4353_55417","dbo","TR_CLASSESCONSUMO","MODELO","dbo","TR_MODELOSFISCAIS","HANDLE"
"FK_783_59774","dbo","TR_CLASSIFICACOESTRIBUTARIAS","DESCRICAOPADRAO","dbo","CM_DESCRICOESPADRAO","HANDLE"
"FK_4500_57462","dbo","TR_CODIGOSAJUSTEAPURACAO","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_4500_60257","dbo","TR_CODIGOSAJUSTEAPURACAO","CAMPOAPURACAO","dbo","TR_IMPOSTOCAMPOS","HANDLE"
"FK_4500_87871","dbo","TR_CODIGOSAJUSTEAPURACAO","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_5109_101112","dbo","TR_CODIGOSAJUSTECFOP","CODIGOAJUSTECREDITO","dbo","TR_CODIGOSAJUSTEDOCFISCAL","HANDLE"
"FK_5109_101811","dbo","TR_CODIGOSAJUSTECFOP","CODIGOAJUSTEFCP","dbo","TR_CODIGOSAJUSTEDOCFISCAL","HANDLE"
"FK_5109_63445","dbo","TR_CODIGOSAJUSTECFOP","PLANOFISCAL","dbo","GN_PLANONATUREZAFISCAL","HANDLE"
"FK_5109_63446","dbo","TR_CODIGOSAJUSTECFOP","NATUREZAFISCAL","dbo","GN_NATUREZASFISCAIS","HANDLE"
"FK_5109_63447","dbo","TR_CODIGOSAJUSTECFOP","CODIGOAJUSTE","dbo","TR_CODIGOSAJUSTEDOCFISCAL","HANDLE"
"FK_5109_63449","dbo","TR_CODIGOSAJUSTECFOP","OBSERVACAO","dbo","CM_OBSERVACOES","HANDLE"
